,,Deep,Shallow,Large Mag.,Intermediate,Ours
AlexNet,C10,  57.19%, 100.00%, 100.00%, 100.00%,  12.48%
AlexNet,C100,  90.06%, 100.00%, 100.00%, 100.00%,  12.48%
AlexNet,S10, 100.00%, 100.00%, 100.00%, 100.00%,   7.12%
AlexNet,UTK, 100.00%, 100.00%,  95.29%, 100.00%,   8.01%
ResNet18,C10, 100.00%, 100.00%, 100.00%, 100.00%,   3.80%
ResNet18,C100, 100.00%, 100.00%, 100.00%, 100.00%,   5.33%
ResNet18,S10,  85.48%, 100.00%, 100.00%, 100.00%,   3.80%
ResNet18,UTK, 100.00%, 100.00%, 100.00%, 100.00%,   4.58%
ResNet34,C10,  99.52%, 100.00%, 100.00%, 100.00%,   1.83%
ResNet34,C100, 100.00%, 100.00%,  94.96%, 100.00%,   2.56%
ResNet34,S10, 100.00%, 100.00%, 100.00%, 100.00%,   1.73%
ResNet34,UTK, 100.00%,  93.52%, 100.00%, 100.00%,   1.92%
VGG16_BN,C10, 100.00%,  93.98%,  87.43%, 100.00%,   0.34%
VGG16_BN,C100, 100.00%, 100.00%,  87.43%, 100.00%,   0.47%
VGG16_BN,S10,  69.23%, 100.00%, 100.00%, 100.00%,   0.40%
VGG16_BN,UTK, 100.00%, 100.00%, 100.00%, 100.00%,   0.60%
VGG19_BN,C10, 100.00%, 100.00%,  82.18%, 100.00%,   0.27%
VGG19_BN,C100,  99.52%, 100.00%, 100.00%, 100.00%,   0.37%
VGG19_BN,S10, 100.00%, 100.00%,  82.18%, 100.00%,   0.35%
VGG19_BN,UTK,  99.52%, 100.00%,  67.98%, 100.01%,   0.37%
